Groups
49
49
49
49
42
28
14
49
10
12
49
49
49
49
49
49
44
27
49
14
49
49
49
27
49
14
49
49
10
49
49
49
49
49
49
26
49
49
49
49
42
49
42
49
49
49
40
49
49
49
49
49
10
49
49
49
25
49
49
28
25
49
10
41
7
27
49
49
49
49
14
49
49
27
49
49
49
49
49
0
49
49
49
49
27
1
49
5
49
49
10
25
49
40
14
49
49
42
49
49
49
28
40
49
12
28
49
49
10
49
28
5
49
5
49
49
49
49
49
49
32
49
49
42
28
49
49
25
49
49
10
27
28
49
43
49
49
49
49
10
49
46
24
49
49
49
28
49
10
49
49
37
49
0
27
27
0
49
49
49
0
49
42
49
14
28
49
5
49
49
46
42
46
14
49
14
49
49
49
1
49
49
10
49
49
10
12
43
49
10
46
49
49
49
49
49
49
49
49
49
49
49
49
0
49
5
10
10
28
49
49
10
49
49
49
14
49
46
49
49
49
49
49
49
49
49
49
49
49
49
49
49
49
49
49
22
7
49
49
49
49
49
27
10
49
49
49
49
49
27
14
49
10
49
49
27
42
6
10
49
49
49
49
49
49
42
49
49
49
49
0
49
40
46
46
0
49
49
5
42
49
49
49
49
49
37
49
14
21
28
49
12
49
10
12
49
11
43
49
49
49
49
43
10
46
14
16
49
49
42
44
49
49
17
41
14
44
14
49
49
49
49
49
49
49
49
32
49
49
46
49
49
49
49
49
32
49
49
49
49
49
12
49
10
28
49
0
49
49
27
49
49
49
32
49
49
49
49
49
49
49
49
26
49
49
10
49
49
49
49
49
49
49
34
49
49
49
49
49
7
5
49
49
49
49
46
49
0
49
49
49
49
49
49
49
49
49
49
49
0
49
49
5
49
10
28
49
49
10
3
49
49
10
49
49
47
49
49
49
27
12
49
49
49
49
49
49
49
49
27
49
49
49
49
49
49
49
49
49
49
49
49
49
28
49
49
49
28
10
11
49
49
40
24
49
49
49
49
49
10
49
49
49
36
49
49
49
49
49
49
22
18
49
42
49
49
49
49
49
49
49
6
0
49
49
49
10
49
49
49
28
49
34
49
49
49
49
28
34
46
25
42
49
49
49
49
49
49
10
37
49
49
49
49
49
10
49
32
49
49
49
27
49
49
49
49
49
49
49
49
49
49
49
49
49
49
49
42
49
49
49
49
49
49
49
49
49
43
49
49
49
18
49
10
49
49
49
49
49
27
42
49
41
41
49
28
43
49
26
28
43
49
26
49
49
49
49
49
10
49
49
49
49
49
49
14
49
49
49
42
49
49
5
49
42
49
49
49
49
49
3
49
49
49
10
49
49
49
49
49
49
49
27
49
0
49
49
49
49
49
49
49
49
49
0
27
49
31
49
49
49
27
49
49
49
10
49
49
30
49
44
49
49
49
49
49
49
49
49
49
49
0
49
49
49
49
49
49
49
49
49
49
49
42
49
49
49
27
27
49
49
49
49
0
49
49
49
49
49
49
28
49
49
22
12
49
10
49
49
49
49
49
49
40
49
49
49
49
49
49
49
49
49
49
27
49
49
49
49
49
49
12
42
49
49
49
49
7
10
49
42
49
49
49
49
49
49
49
49
43
49
49
10
43
49
49
49
49
34
27
49
49
5
27
14
49
49
46
49
49
49
49
49
27
34
49
49
10
49
49
49
49
49
49
25
27
49
27
49
0
49
49
42
49
49
49
49
49
44
10
28
49
12
49
49
49
49
34
10
1
49
49
49
49
49
10
49
49
49
14
25
49
10
10
34
49
49
49
49
49
49
49
49
49
49
49
49
49
0
49
49
49
49
49
49
49
27
10
27
11
49
7
49
49
49
49
49
42
28
49
27
49
49
49
49
28
49
27
49
49
6
49
27
49
49
44
0
49
49
49
34
10
28
27
0
27
49
49
49
14
26
0
11
12
5
11
0
44
0
40
49
0
0
48
0
0
0
12
44
31
49
0
0
0
0
22
49
22
11
11
0
0
5
24
0
0
0
49
0
0
12
40
28
43
0
49
0
0
0
48
0
0
42
0
0
0
0
0
0
0
49
32
0
6
23
17
48
32
0
43
0
10
0
0
0
0
0
18
0
4
0
0
12
0
49
34
28
0
48
0
0
0
0
0
49
3
0
0
42
10
49
0
0
0
0
49
0
6
42
0
0
27
0
0
0
49
0
10
14
0
0
10
28
46
11
0
5
0
49
34
43
0
0
28
0
42
34
34
18
28
12
0
49
21
0
0
18
28
0
25
25
0
10
46
0
0
27
48
48
3
0
11
34
28
0
0
0
0
46
49
0
0
40
3
32
42
0
34
0
0
0
49
49
7
49
49
5
28
0
3
0
7
34
42
49
42
0
49
0
0
0
42
25
19
0
0
12
48
49
0
0
10
14
44
28
34
10
22
0
0
48
0
19
10
0
0
0
28
10
24
0
0
42
40
0
24
0
0
0
25
0
0
45
45
0
28
0
0
0
0
7
0
40
27
14
34
14
42
26
0
0
6
0
11
49
3
34
0
0
0
0
1
0
26
0
34
0
32
0
0
0
44
0
0
49
21
0
42
40
49
0
49
24
34
48
0
28
0
0
0
0
0
32
22
40
0
5
0
44
49
36
10
3
34
0
0
0
42
42
42
40
0
0
28
0
7
0
1
24
22
25
5
40
46
26
0
34
0
27
0
46
44
16
0
48
0
40
49
6
0
19
44
0
0
0
14
0
0
0
0
48
0
28
5
0
0
0
0
34
49
5
25
0
0
0
0
28
0
0
28
0
42
43
0
49
1
28
0
10
0
0
0
0
0
0
26
14
10
40
7
42
49
0
27
25
43
0
34
0
1
49
22
43
11
0
0
13
0
0
0
0
0
17
1
14
22
0
48
0
34
22
21
6
10
10
13
32
8
0
48
0
42
0
42
45
34
42
42
0
0
0
0
0
27
0
5
49
10
14
22
46
22
34
0
0
5
10
46
0
25
0
42
27
32
14
22
42
22
0
0
34
0
3
0
25
7
49
49
32
21
7
40
10
48
49
0
0
49
48
0
0
0
49
25
34
0
0
38
12
0
0
14
37
0
49
0
0
40
0
25
0
0
7
40
0
0
0
23
22
0
27
0
0
0
46
34
22
6
32
41
24
0
0
0
0
0
12
0
0
12
0
0
0
0
22
0
0
49
0
0
10
0
0
0
0
42
0
0
14
0
27
27
0
0
34
0
0
0
10
0
49
21
22
43
5
0
42
0
49
0
28
0
49
49
0
0
24
0
10
28
0
0
25
19
0
0
0
0
46
14
0
0
27
0
0
0
0
19
0
0
0
5
38
18
12
14
0
49
14
0
0
42
0
32
49
42
0
0
0
0
42
0
0
0
40
10
34
22
7
26
0
0
34
22
0
1
11
0
0
